"","ID","score1"
"1",1,"96"
"2",2,"40"
"3",3,"83"
"4",4,"96"
"5",5,"83"
"6",6,"96"
"7",7,"83"
"8",8,"96"
"9",9,"83"
"10",10,"96"
"11",11,"96"
"12",12,"96"
"13",13,"96"
"14",14,"96"
"15",15,"96"
"16",16,"96"
"17",17,"96"
"18",18,"96"
"19",19,"96"
"20",20,"96"
"21",21,"96"
"22",22,"96"
"23",23,"96"
"24",24,"96"
"25",25,"96"
"26",26,"96"
"27",27,"96"
"28",28,"96"
"29",29,"96"
"30",30,"96"
"31",31,"96"
"32",32,"96"
"33",33,"96"
"34",34,"96"
"35",35,NA
"36",36,"96"
"37",37,"96"
"38",38,"96"
"39",39,"96"
"40",40,"96"
"41",41,NA
"42",42,"96"
"43",43,"96"
"44",44,"96"
"45",45,"96"
"46",46,"96"
"47",47,"96"
"48",48,"96"
"49",49,"96"
"50",50,"96"
"51",51,"96"
"52",52,"96"
"53",53,"96"
"54",54,"96"
"55",55,"96"
"56",56,"96"
"57",57,"96"
"58",58,"100"
"59",59,"100"
"60",60,"100"
"61",61,"100"
"62",62,"100"
"63",63,"100"
"64",64,"100"
"65",65,"100"
"66",66,"100"
"67",67,"100"
"68",68,"96"
"69",69,"96"
"70",70,"96"
"71",71,"100"
"72",72,"100"
"73",73,"96"
"74",74,"100"
"75",75,"100"
"76",76,"100"
"77",77,"100"
"78",78,"100"
"79",79,"100"
"80",80,"100"
"81",81,"100"
"82",82,"100"
"83",83,"96"
"84",84,"96"
"85",85,"96"
"86",86,"96"
"87",87,"96"
"88",88,"96"
"89",89,"96"
"90",90,"96"
"91",91,"96"
"92",92,"83"
"93",93,"96"
"94",94,"100"
"95",95,"100"
"96",96,"100"
"97",97,"83"
"98",98,"83"
"99",99,"83"
"100",100,"83"
"101",101,"83"
"102",102,"83"
"103",103,"83"
"104",104,"83"
"105",105,"83"
"106",106,"83"
"107",107,"83"
"108",108,"83"
"109",109,"83"
"110",110,"83"
"111",111,"83"
"112",112,"83"
"113",113,"83"
"114",114,"83"
"115",115,"83"
"116",116,"71"
"117",117,"83"
"118",118,"83"
"119",119,"83"
"120",120,"83"
"121",121,"83"
"122",122,"83"
"123",123,"83"
"124",124,"83"
"125",125,"83"
"126",126,"83"
"127",127,"58"
"128",128,"83"
"129",129,"83"
"130",130,"83"
"131",131,"85"
"132",132,"81"
"133",133,"71"
"134",134,"83"
"135",135,"81"
"136",136,"71"
"137",137,"71"
"138",138,"65"
"139",139,"65"
"140",140,"71"
"141",141,"83"
"142",142,"71"
"143",143,"71"
"144",144,"71"
"145",145,"71"
"146",146,"71"
"147",147,"71"
"148",148,"71"
"149",149,"71"
"150",150,"65"
"151",151,"71"
"152",152,"71"
"153",153,"65"
"154",154,"71"
"155",155,"58"
"156",156,"58"
"157",157,"71"
"158",158,"58"
"159",159,"71"
"160",160,"71"
"161",161,"58"
"162",162,"71"
"163",163,"71"
"164",164,"71"
"165",165,"71"
"166",166,"71"
"167",167,"71"
"168",168,"58"
"169",169,"65"
"170",170,"54"
"171",171,"40"
"172",172,"40"
"173",173,"54"
"174",174,"65"
"175",175,"65"
"176",176,"65"
"177",177,"65"
"178",178,"65"
"179",179,"65"
"180",180,"65"
"181",181,"40"
"182",182,"71"
"183",183,"50"
"184",184,"65"
"185",185,"71"
"186",186,"71"
"187",187,"40"
"188",188,"71"
"189",189,"65"
"190",190,NA
"191",191,"65"
"192",192,NA
"193",193,"65"
"194",194,NA
"195",195,"35"
"196",196,"50"
"197",197,"65"
"198",198,"40"
"199",199,"50"
"200",200,"50"
"201",201,"69"
"202",202,"83"
"203",203,"40"
"204",204,"83"
"205",205,"83"
"206",206,"50"
"207",207,"50"
"208",208,"83"
"209",209,"83"
"210",210,"40"
"211",211,"71"
"212",212,"65"
"213",213,"83"
"214",214,"83"
"215",215,"50"
"216",216,"50"
"217",217,NA
"218",218,"83"
"219",219,"40"
"220",220,"83"
"221",221,"65"
"222",222,"50"
"223",223,"50"
"224",224,"50"
"225",225,"65"
"226",226,"52"
"227",227,"50"
"228",228,"50"
"229",229,"52"
"230",230,"40"
"231",231,"65"
"232",232,"52"
"233",233,"50"
"234",234,"83"
"235",235,"83"
"236",236,"52"
"237",237,"83"
"238",238,"83"
"239",239,"65"
"240",240,"52"
"241",241,"83"
"242",242,"50"
"243",243,"52"
"244",244,"83"
"245",245,"52"
"246",246,"52"
"247",247,"50"
"248",248,"83"
"249",249,"52"
"250",250,"50"
"251",251,"50"
"252",252,"83"
"253",253,"52"
"254",254,"50"
"255",255,"83"
"256",256,"50"
"257",257,"52"
"258",258,"50"
"259",259,"65"
"260",260,"65"
"261",261,"52"
"262",262,"67"
"263",263,"83"
"264",264,"50"
"265",265,"65"
"266",266,"77"
"267",267,"52"
"268",268,"77"
"269",269,"77"
"270",270,"40"
"271",271,"83"
"272",272,"67"
"273",273,"77"
"274",274,"83"
"275",275,"52"
"276",276,"77"
"277",277,"65"
"278",278,"50"
"279",279,"65"
"280",280,"77"
"281",281,"65"
"282",282,"65"
"283",283,"77"
"284",284,"40"
"285",285,"50"
"286",286,"40"
"287",287,"77"
"288",288,"67"
"289",289,"50"
"290",290,"40"
"291",291,"77"
"292",292,"77"
"293",293,"40"
"294",294,"40"
"295",295,"40"
"296",296,"65"
"297",297,"77"
"298",298,"77"
"299",299,"65"
"300",300,"67"
"301",301,"65"
"302",302,"77"
"303",303,"77"
"304",304,"77"
"305",305,"40"
"306",306,"40"
"307",307,"77"
"308",308,"54"
"309",309,"65"
"310",310,"65"
"311",311,"67"
"312",312,"40"
"313",313,"77"
"314",314,"40"
"315",315,"65"
"316",316,"69"
"317",317,"65"
"318",318,"77"
"319",319,"77"
"320",320,"77"
"321",321,"40"
"322",322,"65"
"323",323,"77"
"324",324,"77"
"325",325,"40"
"326",326,"40"
"327",327,"77"
"328",328,"65"
"329",329,"83"
"330",330,"40"
"331",331,"54"
"332",332,"40"
"333",333,"77"
"334",334,"83"
"335",335,"40"
"336",336,"83"
"337",337,"40"
"338",338,"83"
"339",339,"83"
"340",340,"73"
"341",341,"83"
"342",342,"83"
"343",343,"83"
"344",344,"83"
"345",345,"83"
"346",346,"40"
"347",347,"83"
"348",348,"83"
"349",349,"83"
"350",350,"40"
"351",351,"83"
"352",352,"83"
"353",353,"40"
"354",354,"40"
"355",355,"40"
"356",356,"40"
"357",357,"83"
"358",358,"83"
"359",359,"40"
"360",360,"40"
"361",361,"40"
"362",362,"40"
"363",363,"83"
"364",364,"83"
"365",365,"40"
"366",366,"40"
"367",367,"40"
"368",368,"40"
"369",369,"83"
"370",370,"73"
"371",371,"40"
"372",372,"73"
"373",373,"40"
"374",374,"58"
"375",375,"40"
"376",376,"40"
"377",377,"83"
"378",378,"40"
"379",379,"83"
"380",380,"83"
"381",381,"83"
"382",382,"40"
"383",383,"40"
"384",384,"73"
"385",385,"83"
"386",386,"40"
"387",387,"83"
"388",388,"83"
"389",389,"83"
"390",390,"69"
"391",391,"83"
"392",392,"40"
"393",393,"83"
"394",394,"73"
"395",395,"50"
"396",396,"83"
"397",397,"83"
"398",398,"73"
"399",399,"83"
"400",400,"83"
"401",401,"40"
"402",402,"83"
"403",403,"83"
"404",404,"83"
"405",405,"83"
"406",406,"40"
"407",407,"96"
"408",408,"96"
"409",409,"96"
"410",410,"83"
"411",411,"96"
"412",412,"96"
"413",413,"96"
"414",414,"96"
"415",415,"96"
"416",416,"96"
"417",417,"96"
"418",418,"96"
"419",419,"96"
"420",420,"96"
"421",421,"100"
"422",422,"96"
"423",423,"96"
"424",424,"96"
"425",425,"96"
"426",426,"96"
"427",427,"96"
"428",428,"96"
"429",429,"96"
"430",430,"96"
"431",431,"96"
"432",432,"96"
"433",433,"100"
"434",434,"96"
"435",435,"96"
"436",436,"96"
"437",437,"96"
"438",438,"96"
"439",439,"96"
"440",440,"96"
"441",441,"96"
"442",442,"96"
"443",443,"96"
"444",444,"96"
"445",445,"96"
"446",446,"96"
"447",447,"96"
"448",448,"96"
"449",449,"96"
"450",450,"96"
"451",451,"96"
"452",452,"83"
"453",453,"96"
"454",454,"83"
"455",455,"96"
"456",456,"83"
"457",457,"83"
"458",458,"96"
"459",459,"96"
"460",460,"83"
"461",461,"96"
"462",462,"96"
"463",463,"96"
"464",464,"96"
"465",465,"96"
"466",466,"96"
"467",467,"96"
"468",468,"96"
"469",469,"96"
"470",470,"96"
"471",471,"96"
"472",472,"96"
"473",473,"96"
"474",474,"96"
"475",475,"96"
"476",476,"96"
"477",477,"96"
"478",478,"100"
"479",479,"96"
"480",480,"96"
"481",481,"96"
"482",482,"96"
"483",483,"96"
"484",484,"96"
"485",485,"96"
"486",486,"83"
"487",487,"96"
"488",488,"96"
"489",489,"96"
"490",490,"83"
"491",491,"96"
"492",492,"96"
"493",493,"96"
"494",494,"96"
"495",495,"96"
"496",496,"96"
"497",497,"96"
"498",498,"83"
"499",499,"96"
"500",500,"96"
"501",501,"83"
"502",502,"96"
"503",503,"96"
"504",504,"96"
"505",505,"96"
"506",506,"96"
"507",507,"96"
"508",508,"83"
"509",509,"96"
"510",510,"96"
"511",511,"96"
"512",512,"96"
"513",513,"96"
"514",514,"96"
"515",515,"83"
"516",516,"96"
"517",517,"96"
"518",518,"96"
"519",519,"96"
"520",520,"96"
"521",521,"96"
"522",522,"96"
"523",523,"96"
"524",524,"96"
"525",525,"96"
"526",526,"96"
"527",527,"96"
"528",528,"96"
"529",529,"83"
"530",530,"96"
"531",531,"96"
"532",532,"96"
"533",533,"96"
"534",534,"96"
"535",535,"83"
"536",536,"96"
"537",537,"83"
"538",538,"96"
"539",539,"96"
"540",540,"83"
"541",541,"96"
"542",542,"83"
"543",543,"96"
"544",544,"96"
"545",545,"83"
"546",546,"96"
"547",547,"96"
"548",548,"96"
"549",549,"96"
"550",550,"96"
"551",551,"83"
"552",552,"96"
"553",553,"83"
"554",554,"96"
"555",555,"83"
"556",556,"96"
"557",557,"96"
"558",558,"96"
"559",559,"96"
"560",560,"83"
"561",561,"96"
"562",562,"83"
"563",563,"96"
"564",564,"96"
