"","x"
"1","100"
"2","96"
"3","100"
"4","100"
"5","100"
"6","100"
"7","100"
"8","100"
"9","100"
"10","100"
"11","100"
"12","100"
"13","100"
"14","96"
"15","96"
"16","96"
"17","100"
"18","100"
"19","100"
"20","100"
"21","96"
"22","100"
"23","96"
"24","100"
"25","100"
"26","96"
"27","96"
"28","96"
"29","96"
"30","96"
"31","96"
"32","83"
"33","96"
"34","96"
"35","96"
"36","96"
"37","83"
"38","96"
"39","83"
"40","96"
"41","96"
"42","83"
"43","100"
"44","100"
"45","96"
"46","96"
"47","96"
"48","96"
"49","96"
"50","96"
"51","96"
"52","96"
"53","100"
"54","100"
"55","23"
"56","100"
"57","100"
"58","88"
"59","83"
"60","83"
"61","83"
"62","83"
"63","96"
"64","88"
"65","100"
"66","96"
"67","96"
"68","96"
"69","96"
"70","96"
"71","96"
"72","100"
"73","100"
"74","96"
"75","96"
"76","96"
"77","96"
"78","83"
"79","100"
"80","100"
"81","100"
"82","100"
"83","96"
"84","96"
"85","96"
"86","96"
"87","100"
"88","100"
"89","100"
"90","83"
"91","96"
"92","96"
"93","96"
"94","96"
"95","96"
"96","96"
"97","96"
"98","54"
"99","83"
"100","73"
"101","73"
"102","73"
"103","73"
"104","83"
"105","83"
"106","96"
"107","81"
"108","96"
"109","69"
"110","83"
"111","96"
"112","96"
"113","81"
"114","0"
"115","83"
"116","73"
"117","83"
"118","96"
"119","96"
"120","90"
"121","100"
"122","77"
"123","100"
"124","100"
"125","100"
"126","100"
"127","100"
"128","96"
"129","50"
"130","58"
"131","15"
"132","23"
"133","2"
"134","25"
"135","10"
"136","73"
"137","23"
"138","38"
"139","38"
"140","38"
"141","73"
"142","38"
"143","40"
"144","40"
"145","0"
"146","0"
"147","65"
"148","40"
"149","0"
"150","25"
"151","38"
"152","46"
"153","73"
"154","73"
"155","54"
"156","54"
"157","83"
"158","83"
"159","73"
"160","73"
"161","83"
"162","73"
"163","73"
"164","52"
"165","83"
"166","83"
"167","83"
"168","65"
"169","83"
"170","83"
"171","73"
"172","81"
"173","83"
"174","73"
"175","73"
"176","83"
"177","83"
"178","83"
"179","73"
"180","65"
"181","73"
"182","71"
"183","63"
"184","0"
"185","71"
"186","71"
"187","73"
"188","73"
"189","73"
"190","71"
"191","81"
"192","73"
"193","83"
"194","54"
"195","40"
"196","54"
"197","33"
"198","63"
