"","ID","score1"
"1",1,"83"
"2",2,"100"
"3",3,"96"
"4",4,"83"
"5",5,"81"
"6",6,"83"
"7",7,"83"
"8",8,"83"
"9",9,"83"
"10",10,"81"
"11",11,"83"
"12",12,"96"
"13",13,"83"
"14",14,"83"
"15",15,"83"
"16",16,"96"
"17",17,"83"
"18",18,"81"
"19",19,"83"
"20",20,"96"
"21",21,"83"
"22",22,"83"
"23",23,"83"
"24",24,"83"
"25",25,"96"
"26",26,"81"
"27",27,"83"
"28",28,"81"
"29",29,"83"
"30",30,"96"
"31",31,"83"
"32",32,"81"
"33",33,"96"
"34",34,"96"
"35",35,"81"
"36",36,"83"
"37",37,"83"
"38",38,"83"
"39",39,"96"
"40",40,"83"
"41",41,"83"
"42",42,"83"
"43",43,"83"
"44",44,"83"
"45",45,"96"
"46",46,"83"
"47",47,"81"
"48",48,"83"
"49",49,"83"
"50",50,"96"
"51",51,"83"
"52",52,"83"
"53",53,"81"
"54",54,"100"
"55",55,"81"
"56",56,"83"
"57",57,"83"
"58",58,"96"
"59",59,"96"
"60",60,"81"
"61",61,"83"
"62",62,"83"
"63",63,"83"
"64",64,"83"
"65",65,"83"
"66",66,"96"
"67",67,"83"
"68",68,"83"
"69",69,"81"
"70",70,"83"
"71",71,"83"
"72",72,"81"
"73",73,"96"
"74",74,"81"
"75",75,"96"
"76",76,"83"
"77",77,"83"
"78",78,"96"
"79",79,"96"
"80",80,"83"
"81",81,"100"
"82",82,"96"
"83",83,"83"
"84",84,"83"
"85",85,"81"
"86",86,"83"
"87",87,"83"
"88",88,"81"
"89",89,"96"
"90",90,"83"
"91",91,"81"
"92",92,"96"
"93",93,"81"
"94",94,"83"
"95",95,"96"
"96",96,"96"
"97",97,"96"
"98",98,"83"
"99",99,"83"
"100",100,"83"
"101",101,"96"
"102",102,"100"
"103",103,"83"
"104",104,"83"
"105",105,"96"
"106",106,"83"
"107",107,"73"
"108",108,"83"
"109",109,"83"
"110",110,"81"
"111",111,"81"
"112",112,"83"
"113",113,"69"
"114",114,"83"
"115",115,"100"
"116",116,"83"
"117",117,"96"
"118",118,"81"
"119",119,"96"
"120",120,"83"
"121",121,"96"
"122",122,"83"
"123",123,"96"
"124",124,"83"
"125",125,"100"
"126",126,"83"
"127",127,"83"
"128",128,"83"
"129",129,"100"
"130",130,"96"
"131",131,"83"
"132",132,"54"
"133",133,"96"
"134",134,"96"
"135",135,"81"
"136",136,"81"
"137",137,"83"
"138",138,"83"
"139",139,"83"
"140",140,"96"
"141",141,"83"
"142",142,"100"
"143",143,"96"
"144",144,"83"
"145",145,"100"
"146",146,"83"
"147",147,"67"
"148",148,"96"
"149",149,"96"
"150",150,"83"
"151",151,"96"
"152",152,"96"
"153",153,"83"
"154",154,"96"
"155",155,"96"
"156",156,"96"
"157",157,"83"
"158",158,"96"
"159",159,"83"
"160",160,"83"
"161",161,"83"
"162",162,"83"
"163",163,"83"
"164",164,"83"
"165",165,"83"
"166",166,"83"
"167",167,"83"
"168",168,"96"
"169",169,"69"
"170",170,"83"
"171",171,"100"
"172",172,"83"
"173",173,"81"
"174",174,"100"
"175",175,"83"
"176",176,"81"
"177",177,"83"
"178",178,"83"
"179",179,"100"
"180",180,"83"
"181",181,"83"
"182",182,"83"
"183",183,"81"
"184",184,"96"
"185",185,"100"
"186",186,"96"
"187",187,"96"
"188",188,"83"
"189",189,"83"
"190",190,"83"
"191",191,"83"
"192",192,"69"
"193",193,"83"
"194",194,"83"
"195",195,"83"
"196",196,"83"
"197",197,"83"
"198",198,"83"
"199",199,"100"
"200",200,"96"
